ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;726333;726333/2022;01/04/2022 00:00;01/04/2022 00:00;31/03/2022;18:00;A NOITE;31/03/2022;01/04/2022 00:00;Desconhecida;Não;;RUA RUBÉNS DO AMARAL;131;MORUMBI;S.PAULO;SP;-23,6019718;-46,7161647;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;34º D.P. MORUMBI;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EJC6D87;SP;ITAPECERICA DA SERRA;Cinza;HONDA/XRE 300 ABS;2021;;MOTOCICLO;;
2022;726371;726371/2022;01/04/2022 00:28;01/04/2022 00:27;31/03/2022;20:00;A NOITE;31/03/2022;01/04/2022 00:28;Desconhecida;Não;;RUA MAESTRO CARDIM;407;BELA VISTA;S.PAULO;SP;-23,5645506;-46,6410714;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;05º D.P. ACLIMACAO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EQD3710;SP;SÃO PAULO;Preta;HONDA/CG 160 START;2019;;MOTOCICLO;;
2022;726421;726421/2022;01/04/2022 00:41;01/04/2022 00:41;31/03/2022;21:20;A NOITE;01/04/2022;01/04/2022 00:41;Desconhecida;Não;;RUA APENINOS;267;LIBERDADE;S.PAULO;SP;-23,56971785;-46,63861881;Estacionamento público;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;05º D.P. ACLIMACAO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GIO6D83;SP;SÃO PAULO;Cinza;HONDA/PCX 150;2021;;MOTOCICLO;;
2022;726554;726554/2022;01/04/2022 01:17;01/04/2022 01:16;31/03/2022;19:10;A NOITE;01/04/2022;01/04/2022 01:17;Desconhecida;Não;;RUA CORONEL LUIZ AMERICANO;315;TATUAPE;S.PAULO;SP;;;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;30º D.P. TATUAPE;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DIR2122;SP;SÃO CAETANO DO SUL;Branco;HYUNDAI/HB20 1.0M UNIQUE;2019;;AUTOMOVEL;;
2022;726595;726595/2022;01/04/2022 01:28;01/04/2022 01:26;31/03/2022;22:00;A NOITE;01/04/2022;01/04/2022 01:28;Desconhecida;Não;;RUA BENTO SABINO DOS REIS;607;SAO LUCAS;S.PAULO;SP;-23,58134059;-46,54454507;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;42º D.P. PARQUE S. LUCAS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;BZA2768;SP;SÃO BERNARDO DO CAMP;Vermelho;CHEVROLET/ONIX 1.0MT LT;2019;;AUTOMOVEL;;
2022;697;697/2022;01/04/2022 01:58;01/04/2022 01:58;31/03/2022;16:30;A TARDE;31/03/2022;01/04/2022 01:58;Conhecida;Sim;;RUA JULIO DE CASTILHOS;217;BELEM;S.PAULO;SP;-23,54132315;-46,59392378;Via pública;;BO PARA FLAGRANTE;CPJ SANTO ANDRE;81º D.P. BELEM;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FUZ9B15;SP;S.PAULO;Vermelho;VW/GOL 1.0L MC4;2018;2019;AUTOMOVEL;;
2022;1762;1762/2022;01/04/2022 02:13;01/04/2022 02:13;31/03/2022;19:10;A NOITE;31/03/2022;01/04/2022 02:13;Conhecida;Sim;;Rua Juá Mirim;155;Jardim Pedra Branca;S.PAULO;SP;-23,5836837;-46,4180077;Via pública;;BO PARA FLAGRANTE;53º D.P. PARQUE DO CARMO;53º D.P. PARQUE DO CARMO;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1762;1762/2022;01/04/2022 02:13;01/04/2022 02:13;31/03/2022;19:10;A NOITE;31/03/2022;01/04/2022 02:13;Conhecida;Sim;;Rua Juá Mirim;155;Jardim Pedra Branca;S.PAULO;SP;-23,5836837;-46,4180077;Via pública;;BO PARA FLAGRANTE;53º D.P. PARQUE DO CARMO;53º D.P. PARQUE DO CARMO;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;EBJ0877;SP;S.PAULO;Preta;FIAT/PALIO ELX FLEX;2008;2008;AUTOMOVEL;;
2022;1762;1762/2022;01/04/2022 02:13;01/04/2022 02:13;31/03/2022;19:10;A NOITE;31/03/2022;01/04/2022 02:13;Conhecida;Sim;;Rua Juá Mirim;155;Jardim Pedra Branca;S.PAULO;SP;-23,5836837;-46,4180077;Via pública;;BO PARA FLAGRANTE;53º D.P. PARQUE DO CARMO;53º D.P. PARQUE DO CARMO;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;GHR4J96;SP;S.PAULO;Prata;HYUNDAI/HB20 1.0M COMFOR;2016;2016;AUTOMOVEL;;
2022;1762;1762/2022;01/04/2022 02:13;01/04/2022 02:13;31/03/2022;19:10;A NOITE;31/03/2022;01/04/2022 02:13;Conhecida;Sim;;Rua Juá Mirim;155;Jardim Pedra Branca;S.PAULO;SP;-23,5836837;-46,4180077;Via pública;;BO PARA FLAGRANTE;53º D.P. PARQUE DO CARMO;53º D.P. PARQUE DO CARMO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
