Nível;Indicador;2006;2007;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Unidade
1;Veículo;5018373;5392692;6140189;6390092;6622324;6795228;7010508;7323775;7590181;7805127;8036824;8295645;8566286;8761213;8889095;9150267;veículos
1.1;Tipo;;;;;;;;;;;;;;;;;
1.1.1;Automóvel;3781040;4009301;4475032;4617635;4739236;4839921;4971813;5160727;5318961;5442775;5582546;5729252;5868736;5955433;5973326;6094036;veículos
1.1.2;Bonde;35;24;13;10;9;8;8;8;8;8;8;8;8;8;8;8;veículos
1.1.3;Caminhão;124258;128955;133978;128606;123859;118528;116275;119902;123943;127327;129633;132385;135850;138848;141327;143996;veículos
1.1.4;Caminhão trator;14623;15853;17755;18231;18866;18524;18862;21000;22901;24997;26360;27597;29530;31597;33902;35495;veículos
1.1.5;Caminhonete;185790;225454;331336;350812;370894;383184;398426;425441;445278;461384;479151;497388;518441;536359;549133;564004;veículos
1.1.6;Camioneta;293373;286366;264738;286268;311553;332288;354927;380618;403682;422974;440387;465206;483619;492985;502841;519343;veículos
1.1.7;Chassi plataforma;770;803;419;319;294;261;217;206;195;195;194;191;200;200;200;201;veículos
1.1.8;Ciclomotor;2488;2498;2515;2547;2624;2784;2983;3080;3200;3504;3858;4052;4179;4328;4635;5352;veículos
1.1.9;Micro-ônibus;26710;27343;30087;31192;32018;32311;33409;35870;37416;37853;38203;38626;39869;40707;40999;41289;veículos
1.1.10;Motocicleta;422181;506660;652733;704702;749803;774570;799411;833664;866524;895211;924175;961686;1011478;1053017;1096549;1161416;veículos
1.1.11;Motoneta;57767;67425;85586;92703;100533;108511;116516;127816;137946;145844;154782;164404;176305;186176;202667;219835;veículos
1.1.12;Ônibus;35270;37550;39049;39397;40828;40932;41037;42917;43332;44242;44510;45544;47508;49141;49679;50159;veículos
1.1.13;Quadriciclo;24;24;22;22;22;22;22;20;21;21;37;40;41;44;44;48;veículos
1.1.14;Reboque;35872;37242;39609;40761;42059;43296;44503;45788;47200;48812;50257;51971;54277;56654;59183;61744;veículos
1.1.15;Semi-reboque;23370;25134;28310;30008;31777;33069;34327;35514;36472;37255;38071;38849;39890;42051;45477;47578;veículos
1.1.16;Sidecar;80;80;86;86;88;88;89;89;90;91;91;92;91;92;93;93;veículos
1.1.17;Trator de esteira;6;7;5;5;6;4;4;4;4;4;5;5;5;5;5;5;veículos
1.1.18;Trator de rodas;1690;1818;2266;2564;2822;2910;2975;3042;3108;3187;3217;3233;3348;3426;3534;3636;veículos
1.1.19;Triciclo;203;231;406;552;656;729;760;837;940;1035;1123;1199;1310;1413;1537;1686;veículos
1.1.20;Utilitário;12573;19751;36003;43395;54099;63001;73602;86777;98389;107781;119517;133059;150735;167846;182991;199243;veículos
1.1.21;Outros;250;173;241;277;278;287;342;455;571;627;699;858;866;883;965;1100;veículos



Fonte: Ministério da Infraestrutura, Departamento Nacional de Trânsito - DENATRAN - 2020
