Modelo;(*) Índice de Roubos/Furtos (%);Veículos Expostos;N° de Sinistros
ACURA;0;0,51;0
AGRALE - MARRUÁ;0;1,43;0
AGRALE CAMINHOES - TODOS;1,839;54,39;1
ALFA ROMEO 145;0;3,19;0
ALFA ROMEO 147;0;0,06;0
ALFA ROMEO 155;0;1,36;0
ALFA ROMEO 156;26,392;3,79;1
ALFA ROMEO 164;0;1,96;0
ALFA ROMEO SPIDER;0;0,78;0
AM GEN;0;1,01;0
AMAZONAS - AME;0;6,51;0
ASIA MOTORS TOPIC;3,016;33,16;1
ASIA MOTORS TOWNER;0;6,24;0
ASPRILIA MOTOS ACIMA DE 450CC;0;2,84;0
ASPRILIA MOTOS ATE 450CC;0;0,51;0
Aston Demais;0;27,05;0
AUDI 100;0;0,51;0
AUDI 80;0;1,02;0
AUDI A1;0;8,78;0
AUDI A3;4,487;1.470,92;66
AUDI A4;5,397;426,13;23
AUDI A5;3,898;128,26;5
AUDI A6;0;28,71;0
AUDI A7;20,199;4,95;1
AUDI A8;0;5,33;0
AUDI ALLROAD;0;0,21;0
AUDI AVANT;0;4,31;0
Audi Demais;4,43;812,58;36
AUDI Q3;3,092;582,14;18
AUDI Q5;2,99;66,88;2
AUDI Q7;0;44,42;0
AUDI RS3;0;0,8;0
AUDI RS6;0;0,3;0
AUDI S3;6,011;16,64;1
AUDI S4;0;0,28;0
AUDI S6;0;1,8;0
AUDI S8;0;0,19;0
AUDI TT;29,139;27,45;8
BIMOTA MOTOS - TODAS;0;0,92;0
BMW - MOTOS TODAS;6,207;2.577,54;160
BMW - TODOS;6,05;4.082,89;247
BRM BUGGY;0;4,76;0
BRP;4,824;20,73;1
BUELL MOTOS - TODAS;8,175;24,47;2
BUGGY - TODOS;0;1,57;0
BYCRISTO TRICICLO;0;1,07;0
CAGIVA MOTOS ACIMA DE 450CC;0;0,98;0
CAMINHOES - OUTROS;0;193,8;0
CBT JIPE;0;0,57;0
CHANA;20,857;4,79;1
Changan;0;6,55;0
Chery;2,397;5.130,82;123
CHEVROLET CAMINHOES - TODOS;24,18;8,27;2
CHRYSLER - TODOS;5,955;235,08;14
Citroen Aircross;3,367;1.544,45;52
CITROEN BERLINGO;15,301;45,75;7
CITROEN C3;6,081;10.689,11;650
CITROEN C4;2,928;3.620,22;106
CITROEN C5;9,75;20,51;2
CITROEN C8;0;0,92;0
CITROEN DS3;8,976;89,13;8
CITROEN DS4;0;1,3;0
CITROEN DS5;16,208;6,17;1
CITROEN EVASION;131,295;1,52;2
CITROEN JUMPER;3,348;298,67;10
CITROEN XANTIA;0;2,44;0
CITROEN XSARA;6,994;929,33;65
CITROEN ZX;39,417;2,54;1
DAELIM MOTOS - TODAS;0;0,51;0
DAEWOO - TODOS;0;4,25;0
DAFRA;13,911;2.472,83;344
DAIHATSU - TODOS;0;9,22;0
DODGE DAKOTA;0;29,18;0
Dodge Durango;0;20,82;0
DODGE JOURNEY;8,148;638,19;52
DODGE RAM;4,621;21,64;1
DUCATI MOTOS - TODAS;8,551;456,1;39
EFFA;1,526;65,53;1
ENGESA;0;3,62;0
ENVERNO - TODOS;0;2,28;0
FERRARI - TODOS;0;4,52;0
FIAT 147;0;4,26;0
FIAT 190;0;0,51;0
Fiat 500;8,945;145,33;13
FIAT ARGO;3,253;3.597,15;117
FIAT BRAVA;4,837;62,02;3
FIAT BRAVO;3,818;812,03;31
FIAT CINQUECENTO;4,991;1.482,81;74
FIAT COUPE;28,427;3,52;1
FIAT CRONOS;2,674;1.009,78;27
FIAT DOBLO;4,35;4.184,24;182
FIAT DUCATO;10,452;1.109,87;116
FIAT DUNA;0;1,01;0
FIAT ELBA;37,942;13,18;5
FIAT FIORINO;4,958;5.002,20;248
Fiat FREEMONT;20,217;558,94;113
Fiat Grand Siena;6,367;3.706,86;236
FIAT IDEA;4,236;8.379,61;355
FIAT LINEA;4,152;939,31;39
FIAT MAREA;8,621;46,4;4
FIAT MAREA WEEKEND;3,533;28,3;1
FIAT MOBI;6,226;4.721,99;294
FIAT PALIO 1.0;4,678;16.266,26;761
FIAT PALIO ACIMA DE 1.0;4,968;6.078,59;302
FIAT PALIO WEEKEND;3,858;4.406,22;170
FIAT PREMIO;0;7,71;0
FIAT PUNTO;4,607;5.405,38;249
FIAT SIENA 1.0;4,317;4.146,28;179
FIAT SIENA ACIMA DE 1.0;5,138;2.394,15;123
FIAT STILO;6,727;490,56;33
FIAT STRADA;4,347;8.533,76;371
FIAT TEMPRA;18,885;26,48;5
FIAT TIPO;34,448;20,32;7
FIAT TORO;3,121;4.646,04;145
FIAT UNO 1.0;4,12;12.816,04;528
FIAT UNO ACIMA DE 1.0;3,764;2.284,79;86
FIAT UNO FURGAO;1,167;85,7;1
Fiat Uno Vivace;5,053;1.464,52;74
Fiat Uno Way;4,761;651,19;31
FIBRAVAN;0;0,08;0
FORD CAMINHOES - OUTROS;5,248;343;18
FORD CARGO;5,72;2.132,68;122
FORD CLUB WAGON;0;0,27;0
FORD CORCEL;0;2,27;0
FORD COURIER;6,343;1.481,86;94
FORD DEL REY;8,902;11,23;1
FORD ECO SPORT;3,561;15.416,24;549
FORD EDGE;7,511;386,1;29
FORD ESCORT;8,293;265,28;22
FORD EXPEDITION;0;0,27;0
FORD EXPLORER;0;17,64;0
FORD F-100;0;1,04;0
FORD F-1000;0;47,78;0
FORD F-250;1,243;80,42;1
FORD FIESTA 1.0;6,74;10.207,58;688
FORD FIESTA ACIMA DE 1.0;5,131;18.633,10;956
FORD FOCUS;2,691;6.279,04;169
FORD FURGLAINE;0;0,5;0
FORD FUSION;3,486;1.807,21;63
FORD KA 1.0;7,696;22.142,73;1.704,00
FORD KA ACIMA DE 1.0;5,796;8.350,87;484
FORD MONDEO;9,9;20,2;2
FORD MUSTANG;0;22,36;0
FORD PAMPA;0;20,82;0
FORD RANGER;5,706;2.453,70;140
FORD ROYALE;0;5,06;0
FORD TAURUS;13,278;7,53;1
FORD TRANSIT;7,957;226,21;18
FORD VERONA;0;6,53;0
FORD VERSAILLES;24,29;12,35;3
FYM MOTOS - TODAS;63,149;1,58;1
GARINI MOTOS - TODAS;0;1,16;0
GM CHEVROLET SONIC;4,729;909,19;43
GM CHEVROLET SPIN;5,38;7.825,87;421
GM CHEVROLET A-10;0;0,83;0
GM CHEVROLET A-20;20,471;4,88;1
GM CHEVROLET AGILE;5,136;5.939,04;305
GM CHEVROLET ASTRA;3,299;4.032,07;133
GM CHEVROLET BLAZER;0;1,09;0
GM CHEVROLET BONANZA;0;3,75;0
GM CHEVROLET C-10;0;2,13;0
GM CHEVROLET C-20;0;11,96;0
GM CHEVROLET CALIBRA;0;1,73;0
GM CHEVROLET CAMARO;3,924;50,96;2
GM CHEVROLET CAPTIVA;9,541;1.194,85;114
GM CHEVROLET CARAVAN;0;9,49;0
GM CHEVROLET CELTA 1.0;4,066;20.042,11;815
GM CHEVROLET CELTA ACIMA DE 1.0;1,489;402,87;6
GM CHEVROLET CHEVETTE;8,686;23,02;2
GM CHEVROLET CHEVY;23,175;4,32;1
GM CHEVROLET COBALT;5,406;7.102,71;384
GM CHEVROLET CORSA 1.0;4,594;18.677,65;858
GM CHEVROLET CORSA ACIMA DE 1.0;2,99;11.238,84;336
GM CHEVROLET CORVETTE;0;3,58;0
GM CHEVROLET CRUZE;2,014;6.405,11;129
GM CHEVROLET D-10;0;3,06;0
GM CHEVROLET D-20;0;28,61;0
GM CHEVROLET EQUINOX;3,729;375,44;14
GM CHEVROLET IPANEMA;15,636;19,19;3
GM CHEVROLET KADETT;9,325;117,96;11
GM CHEVROLET MARAJO;0;1,51;0
GM CHEVROLET MERIVA;4,118;5.488,27;226
GM CHEVROLET MONTANA;6,778;6.447,43;437
GM CHEVROLET MONZA;1,802;166,47;3
GM CHEVROLET OMEGA;10,978;81,98;9
GM CHEVROLET ONIX;8,111;32.105,25;2.604,00
GM CHEVROLET OPALA;0;44,79;0
GM CHEVROLET PRISMA;4,846;19.891,11;964
GM CHEVROLET S-10;3,438;3.722,63;128
GM CHEVROLET SATUM;0;0,35;0
GM CHEVROLET SIERRA;0;0,83;0
GM CHEVROLET SILVERADO;0;22,08;0
GM CHEVROLET SONOMA;0;0,16;0
GM CHEVROLET SPACEVAN;0;1,59;0
GM CHEVROLET SS10;0;1,14;0
GM CHEVROLET SUBURBAN;0;9,1;0
GM CHEVROLET SUPREMA;0;2,04;0
GM CHEVROLET TIGRA;31,767;3,15;1
GM CHEVROLET TRACKER;4,854;3.275,41;159
GM CHEVROLET TRAFIC;0;3,5;0
GM CHEVROLET TRAILBLAZER;13,548;1.476,25;200
GM CHEVROLET VECTRA;2,728;3.261,97;89
GM CHEVROLET VERANEIO;0;3,3;0
GM CHEVROLET ZAFIRA;3,209;2.617,90;84
GMC CAMINHOES - TODOS;0;17,01;0
GURGEL - TODOS;0;5,26;0
HAFEI;0;70,3;0
HAOBAO;0;0,31;0
HARLEY-DAVIDSON MOTOS - TODAS;10,447;2.211,18;231
HONDA ACCORD;6,31;237,72;15
HONDA CITY;2,823;13.955,22;394
HONDA CIVIC;3,058;18.507,23;566
HONDA CR-V;7,596;3.765,06;286
HONDA FIT;4,402;35.144,11;1.547,00
HONDA HR-V;2,163;12.250,33;265
HONDA MOTOS ACIMA DE 450CC;5,052;2.791,00;141
HONDA MOTOS ATE 450CC;7,49;20.935,59;1.568,00
HONDA ODYSSEY;11,148;26,91;3
HONDA PRELUDE;0;0,54;0
HONDA WRV;2,254;1.908,08;43
HUSQVARNA MOTOS ACIMA DE 450CC;59,738;1,67;1
HYUNDAI ACCENT;0;4,54;0
HYUNDAI ATOS PRIME;0;9,77;0
HYUNDAI AZERA;7,981;1.140,27;91
HYUNDAI CRETA;3,824;8.001,06;306
HYUNDAI ELANTRA;2,523;1.109,81;28
HYUNDAI EQUUS;0;2,07;0
HYUNDAI EXCEL;0;0,97;0
HYUNDAI GALLOPER;0;3,71;0
HYUNDAI H1;0;9,79;0
HYUNDAI H100;0;9,44;0
HYUNDAI HB20;4,494;37.652,09;1.692,00
HYUNDAI HR;9,639;2.873,84;277
HYUNDAI I30, IX35;5,164;9.352,38;483
HYUNDAI MATRIX;0;0,05;0
HYUNDAI PORTER;0;1,77;0
HYUNDAI SANTA FE;7,078;1.808,35;128
HYUNDAI SONATA;4,269;304,49;13
HYUNDAI TERRACAN;0;14,28;0
HYUNDAI TRAJET;0;0,51;0
HYUNDAI TUCSON;7,033;8.459,85;595
HYUNDAI Veloster;1,876;266,55;5
HYUNDAI VERACRUZ;4,219;426,59;18
IVECO - OUTROS;5,916;371,86;22
IVECO CITYCLASS;0;1,74;0
IVECO DAILY CHASSI;5,012;2.912,81;146
IVECO DAILY FURGAO;1,309;76,41;1
IVECO DAILY MAX VAN;0;1,19;0
IVECO DAILY OUTROS;0;63,67;0
IVECO EUROCARGO;3,928;76,37;3
IVECO EUROTECH;0;20,24;0
IVECO EUROTRAKKER;0;2,03;0
IVECO STRALIS;1,493;200,92;3
JAC TODOS;2,885;2.530,28;73
JAGUAR - TODOS;3,676;163,24;6
JEEP CHEROKEE;2,86;279,75;8
JEEP RENEGADE;2,62;10.955,76;287
JEEP WRANGLER;2,778;143,97;4
JEEP-COMPASS;3,546;5.950,04;211
JONNY;0;0,38;0
KASINSKI MOTOS ACIMA DE 450CC;0;20,39;0
KASINSKI MOTOS ATE 450CC;2,83;282,64;8
KAWASAKI MOTOS ACIMA DE 450CC;4,886;1.678,42;82
KAWASAKI MOTOS ATE 450CC;3,62;828,62;30
KIA MOTORS BESTA;0;12,68;0
KIA MOTORS BONGO;2,627;1.332,25;35
KIA MOTORS CADENZA;3,382;29,57;1
KIA MOTORS CARENS;20,484;73,23;15
KIA MOTORS CARNIVAL;17,858;95,2;17
KIA MOTORS CERATO;3,261;1.042,65;34
KIA MOTORS CLARUS;0;0,5;0
KIA MOTORS Grand Carnival;2,004;49,9;1
KIA MOTORS MAGNETIS;0;24,16;0
KIA MOTORS OPIRUS;0;5,53;0
KIA MOTORS OPTIMA;0;31,92;0
KIA MOTORS PICANTO;6,964;1.507,76;105
KIA MOTORS QUORIS;0;0,1;0
KIA MOTORS SEPHIA;0;0,53;0
KIA MOTORS SORENTO;5,786;725,87;42
KIA MOTORS SPORTAGE;5,946;2.707,88;161
KIMCO MOTOS ATE 450CC;10,425;297,37;31
KTM MOTOS ACIMA DE 450CC;0;37,6;0
KTM MOTOS ATE 450CC;6,754;370,18;25
LADA LAIKA;0;0,51;0
LADA NIVA;0;4,44;0
LAMBORGHINI TODOS;0;18,7;0
LAND ROVER DEFENDER;2,528;118,67;3
LAND ROVER DISCOVERY;5,832;617,25;36
LAND ROVER FREELANDER;11,506;408,47;47
LAND ROVER NEW RANGER;0;0,51;0
LAND ROVER RANGE ROVER;6,794;853,72;58
LEXUS;2,535;157,8;4
LIFAN TODOS;0,824;242,75;2
LON V LY;0;0,65;0
MACLAREN TODOS;0;0,51;0
MAHINDRA;0;17,55;0
MARCOPOLO VOLARE;0;51,65;0
MASERATI - TODOS;0;4,84;0
MAZDA - TODOS;0;6,77;0
MERCEDES-BENZ - OUTROS;6,381;4.199,83;268
MERCEDES-BENZ ATEGO;5,499;963,83;53
MERCEDES-BENZ AXOR;1,107;1.264,29;14
MERCEDES-BENZ CAMINHOES - OUTROS;3,603;3.552,62;128
MERCEDES-BENZ CLASSE A;6,3;396,82;25
MERCEDES-BENZ SPRINTER;2,029;1.330,59;27
MINI;4,668;2.078,06;97
MITSUBISHI - ASX;1,537;585,42;9
MITSUBISHI - L200;6,246;288,18;18
MITSUBISHI - OUTROS;4,913;5.902,41;290
MITSUBISHI ECLIPSE;1,658;180,96;3
MITSUBISHI GALANT;0;3,93;0
MITSUBISHI LANCER;1,635;1.039,48;17
MITSUBISHI PAJERO;6,98;4.054,57;283
MITSUBISHI SPACE WAGON;25,988;7,7;2
MIZA MOTOS ATE 450CC;0;0,12;0
Motos Outras;2,387;1.089,05;26
MV AUGUSTA MOTOS ACIMA DE 450CC;0;21,58;0
MVK MOTOS ATE 450CC;0;0,99;0
NAVISTAR INTERNACIONAL;11,381;8,79;1
NEOBUS THUNDER;0;0,51;0
NISSAN - MARCH;3,041;8.089,35;246
NISSAN - OUTROS;5,15;58,26;3
NISSAN - TIIDA;6,04;2.019,93;122
NISSAN - VERSA;4,481;6.850,93;307
NISSAN FRONTIER;6,723;877,56;59
NISSAN KICKS;2,376;7.702,93;183
NISSAN LIVINA;4,803;3.581,15;172
NISSAN MAXIMA;0;2,19;0
NISSAN PATHFINDER;10,936;18,29;2
NISSAN SENTRA;3,83;3.524,53;135
NISSAN XTERRA;11,012;18,16;2
OUTROS;0,551;26.852,96;148
PEUGEOT 106;35,749;8,39;3
Peugeot 2008/3008;2,07;2.125,68;44
PEUGEOT 205;0;0,8;0
PEUGEOT 206;3,291;2.582,64;85
PEUGEOT 207;8,264;4.513,41;373
Peugeot 208;2,971;2.759,62;82
PEUGEOT 306;40,358;12,39;5
PEUGEOT 307;4,492;957,35;43
Peugeot 308;3,173;850,9;27
PEUGEOT 405;0;2,72;0
PEUGEOT 406;37,765;5,3;2
PEUGEOT 407;13,784;7,25;1
Peugeot 408;5,288;416,03;22
PEUGEOT 504;0;2,6;0
Peugeot 508;0;5,33;0
PEUGEOT 607;0;0,5;0
PEUGEOT 806;0;1,01;0
PEUGEOT BOXER;9,327;278,75;26
Peugeot outros;2,32;172,44;4
PEUGEOT PARTNER;6,14;293,15;18
PIAGGIO MOTOS ACIMA DE 450CC;0;2,24;0
PIAGGIO MOTOS ATE 450CC;0;11,96;0
PORSCHE - OUTROS;5,435;92;5
PORSCHE 911;3,529;56,68;2
PORSCHE BOXSTER;8,118;24,64;2
PORSCHE CAYENNE;5,163;77,47;4
PUMA-ALFA;0;1,6;0
RENAULT DUSTER;6,176;7.966,26;492
RENAULT OUTROS;6,537;321,25;21
RENAULT 19;47,403;2,11;1
RENAULT 21;0;0,5;0
RENAULT CAPTUR;3,49;2.607,71;91
RENAULT CLIO 1.0;4,654;5.543,79;258
RENAULT CLIO ACIMA DE 1.0;5,897;644,36;38
RENAULT FLUENCE;3,609;1.052,85;38
RENAULT KANGOO;11,28;1.125,87;127
RENAULT KWID;3,708;6.931,44;257
RENAULT LAGUNA;0;1,05;0
RENAULT LOGAN;5,789;7.238,29;419
RENAULT MASTER;9,61;1.769,02;170
RENAULT MEGANE;3,701;594,43;22
RENAULT SANDERO;4,951;21.794,33;1.079,00
RENAULT SCENIC;3,82;471,24;18
RENAULT TRAFIC;12,56;7,96;1
RENAULT TWINGO;14,247;21,06;3
RENAULT ZOE;0;2,05;0
ROVER;0;0,51;0
