ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;1;jan/22;01/01/2022 00:04;01/01/2022 00:30;31/12/2021;22:30;A NOITE;01/01/2022;01/01/2022 00:04;Desconhecida;Não;;RUA PADRE PEDRO ROTA;417;SAO LUCAS;S.PAULO;SP;-23,59209496;-46,55141693;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;42º D.P. PARQUE S. LUCAS;42º D.P. PARQUE S. LUCAS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;LKN4215;SP;S.PAULO;Preta;I/PEUGEOT 307 16 PR PK;2007;2008;AUTOMOVEL;;
2021;2528472;2528472/2021;01/01/2022 00:34;01/01/2022 00:34;31/12/2021;22:20;A NOITE;31/12/2021;01/01/2022 00:34;Desconhecida;Não;;RUA ERVA BOTÃO;51;JARDIM DOS IPES;S.PAULO;SP;-23,5025919;-46,4147227;Outros;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;59º D.P. JARDIM DOS IPES;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;BWB4710;SP;SÃO PAULO;Branco;FORD/KA SE 1.0 HA C;2019;;AUTOMOVEL;;
2022;2;fev/22;01/01/2022 00:41;01/01/2022 00:41;31/12/2021;21:50;A NOITE;01/01/2022;01/01/2022 00:41;Desconhecida;Não;;RUA ANTONIO DE CAMARGO ORTIS;1;ITAIM PAULISTA;S.PAULO;SP;-23,49922786;-46,37923756;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;50º D.P. ITAIM PAULISTA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DZI7987;SP;FERRAZ DE VASCONCELO;Prata;I/HYUNDAI TUCSON GL 20L;2007;;AUTOMOVEL;;
2022;2;fev/22;01/01/2022 00:55;01/01/2022 00:55;31/12/2021;23:30;A NOITE;01/01/2022;01/01/2022 00:55;Desconhecida;Não;;AVENIDA SAPOPEMBA;10765;SAPOPEMBA;S.PAULO;SP;-23,6101801;-46,48495483;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;69º D.P. TEOTONIO VILELA;69º D.P. TEOTONIO VILELA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DDU4791;SP;S.PAULO;Vermelho;FIAT/PALIO ELX;2001;2001;AUTOMOVEL;;
2022;1;jan/22;01/01/2022 01:02;01/01/2022 01:42;31/12/2021;23:00;A NOITE;01/01/2022;01/01/2022 01:02;Desconhecida;Não;;AVENIDA ALMIRANTE DELAMARE;92;SACOMA;S.PAULO;SP;-23,60291942;-46,59758289;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;36º D.P. VILA MARIANA;95º D.P. HELIÓPOLIS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;§2o.Se a violência ou grave ameaça é exercida com emprego de arma de fogo de uso;Consumado;;;;;;;;;;;;;;;;CUI8H28;SP;S.PAULO;Cinza;NISSAN/KICKS ACTIVE CVT;2021;2022;AUTOMOVEL;;
2022;84;84/2022;01/01/2022 02:05;01/01/2022 02:25;01/01/2022;00:30;DE MADRUGADA;01/01/2022;01/01/2022 02:05;Desconhecida;Não;;RUA ANTONIO LUIS DE GODOI;519;GUAIANASES;S.PAULO;SP;-23,56259953;-46,41955441;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;DELEGACIA ELETRONICA;103º D.P. COHABII/ITAQU.;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EWF0630;SP;SÃO PAULO;Preta;HONDA/CG 160 FAN;2019;;MOTOCICLO;;
2022;2;fev/22;01/01/2022 02:43;01/01/2022 02:43;31/12/2021;20:05;A NOITE;31/12/2021;01/01/2022 02:43;Conhecida;Sim;;RUA HISAJI MORITA;201;JOSE BONIFACIO;S.PAULO;SP;-23,56701234;-46,43347605;Via pública;;BO PARA FLAGRANTE;53º D.P. PARQUE DO CARMO;53º D.P. PARQUE DO CARMO;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FFU7E53;SP;S.PAULO;Cinza;VW/GOL 1.0L MC5;2020;2021;AUTOMOVEL;;
2022;136;136/2022;01/01/2022 03:21;01/01/2022 03:19;01/01/2022;00:20;DE MADRUGADA;01/01/2022;01/01/2022 03:21;Desconhecida;Não;;PRAÇA GONCALO RAVASCO;63;GUAIANASES;S.PAULO;SP;-23,55919138;-46,39954276;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;44º D.P. GUAIANAZES;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FGW1069;SP;SÃO PAULO;Cinza;VW/FOX XTREME MB;2018;;AUTOMOVEL;;
2022;4;abr/22;01/01/2022 04:31;01/01/2022 04:31;01/01/2022;00:01;DE MADRUGADA;01/01/2022;01/01/2022 04:31;Desconhecida;Não;;AVENIDA DA BARREIRA GRANDE;3331;SAPOPEMBA;S.PAULO;SP;-23,58417799;-46,52871556;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;69º D.P. TEOTONIO VILELA;41º D.P. VILA RICA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EXK4F23;SP;S.PAULO;Preta;JTA/SUZUKI GSR150I;2013;2013;MOTOCICLO;;
2022;231;231/2022;01/01/2022 05:29;01/01/2022 05:29;31/12/2021;21:50;A NOITE;01/01/2022;01/01/2022 05:29;Desconhecida;Não;2/2022 - 900020;RUA ANTONIO DE CAMARGO ORTIS;1;ITAIM PAULISTA;S.PAULO;SP;-23,49922786;-46,37923756;Via Pública;;BO PARA ADENDO;DELEGACIA ELETRONICA;50º D.P. ITAIM PAULISTA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DZI7987;SP;FERRAZ DE VASCONCELO;Prata;I/HYUNDAI TUCSON GL 20L;2007;;AUTOMOVEL;;
2022;2;fev/22;01/01/2022 05:47;01/01/2022 06:23;01/01/2022;02:00;DE MADRUGADA;01/01/2022;01/01/2022 05:47;Desconhecida;Não;;RUA PIXINGUINHA;100;RAPOSO TAVARES;S.PAULO;SP;-23,58894544;-46,76898126;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;91º D.P. CEASA;75º D.P. JARDIM ARPOADOR;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FKC3F09;SP;ITAPEVI;Prata;TOYOTA/COROLLA XEI20FLEX;2018;2019;AUTOMOVEL;;
2022;1;jan/22;01/01/2022 09:04;01/01/2022 09:04;29/12/2021;05:00;DE MADRUGADA;29/12/2021;01/01/2022 09:04;Desconhecida;Não;6629/2021 - 10374;RUA ABRICO NATAL;201;GRAJAU;S.PAULO;SP;-23,76300483;-46,70828268;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;101º D.P. JDIM IMBUIAS;85º D.P. JARDIM MIRNA;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1;jan/22;01/01/2022 09:04;01/01/2022 09:04;29/12/2021;05:00;DE MADRUGADA;29/12/2021;01/01/2022 09:04;Desconhecida;Não;6629/2021 - 10374;RUA ABRICO NATAL;201;GRAJAU;S.PAULO;SP;-23,76300483;-46,70828268;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;101º D.P. JDIM IMBUIAS;85º D.P. JARDIM MIRNA;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;FEH2I11;SP;INDAIATUBA;Vermelho;IVECO/DAILY 35S14HDCS;2012;2013;CAMINHONETE;;
2022;1;jan/22;01/01/2022 09:04;01/01/2022 09:04;29/12/2021;05:00;DE MADRUGADA;29/12/2021;01/01/2022 09:04;Desconhecida;Não;6629/2021 - 10374;RUA ABRICO NATAL;201;GRAJAU;S.PAULO;SP;-23,76300483;-46,70828268;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;101º D.P. JDIM IMBUIAS;85º D.P. JARDIM MIRNA;Título II - Patrimônio (arts. 155 a 183);Extorsão mediante seqüestro (art. 159);;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1;jan/22;01/01/2022 09:04;01/01/2022 09:04;29/12/2021;05:00;DE MADRUGADA;29/12/2021;01/01/2022 09:04;Desconhecida;Não;6629/2021 - 10374;RUA ABRICO NATAL;201;GRAJAU;S.PAULO;SP;-23,76300483;-46,70828268;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;101º D.P. JDIM IMBUIAS;85º D.P. JARDIM MIRNA;Título II - Patrimônio (arts. 155 a 183);Extorsão mediante seqüestro (art. 159);;Consumado;;;;;;;;;;;;;;;;FEH2I11;SP;INDAIATUBA;Vermelho;IVECO/DAILY 35S14HDCS;2012;2013;CAMINHONETE;;
2022;1;jan/22;01/01/2022 09:04;01/01/2022 09:04;29/12/2021;05:00;DE MADRUGADA;29/12/2021;01/01/2022 09:04;Desconhecida;Não;6629/2021 - 10374;RUA ABRICO NATAL;201;GRAJAU;S.PAULO;SP;-23,76300483;-46,70828268;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;101º D.P. JDIM IMBUIAS;85º D.P. JARDIM MIRNA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1;jan/22;01/01/2022 09:04;01/01/2022 09:04;29/12/2021;05:00;DE MADRUGADA;29/12/2021;01/01/2022 09:04;Desconhecida;Não;6629/2021 - 10374;RUA ABRICO NATAL;201;GRAJAU;S.PAULO;SP;-23,76300483;-46,70828268;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;101º D.P. JDIM IMBUIAS;85º D.P. JARDIM MIRNA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FEH2I11;SP;INDAIATUBA;Vermelho;IVECO/DAILY 35S14HDCS;2012;2013;CAMINHONETE;;
