ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;2866;2866/2022;01/06/2022 00:27;01/06/2022 00:27;01/06/2022;;DE MADRUGADA;01/06/2022;01/06/2022 00:27;Desconhecida;Não;;Rua Nicola Roselli;156;Jardim Edda;S.PAULO;SP;-23,7438945;-46,6989689;Restaurante e afins;;ENCAMINHAMENTO DP ÁREA DO FATO;101º D.P. JDIM IMBUIAS;85º D.P. JARDIM MIRNA;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DQV6607;SP;S.PAULO;Vermelho;VW/FOX 1.6 PLUS;2006;2006;AUTOMOVEL;;
2022;1230155;1230155/2022;01/06/2022 00:32;01/06/2022 00:33;31/05/2022;22:05;A NOITE;31/05/2022;01/06/2022 00:32;Desconhecida;Não;;RUA HONÓRIO CORREIA DE OLIVEIRA;57;CUPECÊ;S.PAULO;SP;-23,6630812;-46,6700559;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;43º D.P. CIDADE ADEMAR;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;RNG7J98;SP;SÃO PAULO;Branco;CITROEN/C4CACTUS LIVE AT;2021;;AUTOMOVEL;;
2022;1230285;1230285/2022;01/06/2022 00:46;01/06/2022 00:46;31/05/2022;19:00;A NOITE;31/05/2022;01/06/2022 00:46;Desconhecida;Não;;RUA ITAUNA DO SUL;41;SAO LUCAS;S.PAULO;SP;-23,5991408;-46,54274076;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;42º D.P. PARQUE S. LUCAS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FPL9B38;SP;SÃO CAETANO DO SUL;Branco;FORD/FIESTA HA 1.5L SEB;2015;;AUTOMOVEL;;
2022;1716;1716/2022;01/06/2022 00:47;01/06/2022 00:47;31/05/2022;19:00;A NOITE;31/05/2022;01/06/2022 00:47;Desconhecida;Não;;Praça Conde de São Januário;91;Vila California;S.PAULO;SP;-23,6049071;-46,5549882;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;DEL.POL.S.CAETANO DO SUL;42º D.P. PARQUE S. LUCAS;Localização e/ou Devolução;Localização/Apreensão de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1716;1716/2022;01/06/2022 00:47;01/06/2022 00:47;31/05/2022;19:00;A NOITE;31/05/2022;01/06/2022 00:47;Desconhecida;Não;;Praça Conde de São Januário;91;Vila California;S.PAULO;SP;-23,6049071;-46,5549882;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;DEL.POL.S.CAETANO DO SUL;42º D.P. PARQUE S. LUCAS;Localização e/ou Devolução;Localização/Apreensão de veículo;;Consumado;;;;;;;;;;;;;;;;FFJ7287;SP;S.PAULO;Preta;I/KIA CERATO FF SX4 ATNB;2017;2018;AUTOMOVEL;;
2022;1716;1716/2022;01/06/2022 00:47;01/06/2022 00:47;31/05/2022;19:00;A NOITE;31/05/2022;01/06/2022 00:47;Desconhecida;Não;;Praça Conde de São Januário;91;Vila California;S.PAULO;SP;-23,6049071;-46,5549882;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;DEL.POL.S.CAETANO DO SUL;42º D.P. PARQUE S. LUCAS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1716;1716/2022;01/06/2022 00:47;01/06/2022 00:47;31/05/2022;19:00;A NOITE;31/05/2022;01/06/2022 00:47;Desconhecida;Não;;Praça Conde de São Januário;91;Vila California;S.PAULO;SP;-23,6049071;-46,5549882;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;DEL.POL.S.CAETANO DO SUL;42º D.P. PARQUE S. LUCAS;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FFJ7287;SP;S.PAULO;Preta;I/KIA CERATO FF SX4 ATNB;2017;2018;AUTOMOVEL;;
2022;1230376;1230376/2022;01/06/2022 01:06;01/06/2022 01:06;31/05/2022;21:03;A NOITE;01/06/2022;01/06/2022 01:06;Desconhecida;Não;;RUA MAJOR NATANAEL;232;PACAEMBU;S.PAULO;SP;-23,5549967;-46,6675654;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;04º D.P. CONSOLAÇÃO;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;RKQ1H35;SP;SÃO PAULO;Preta;KAWASAKI/Z900 RS;2020;;MOTOCICLO;;
2022;1230249;1230249/2022;01/06/2022 01:35;01/06/2022 01:36;31/05/2022;20:45;A NOITE;31/05/2022;01/06/2022 01:35;Desconhecida;Não;;RUA GREGÓRIO SERRÃO;260;VILA MARIANA;S.PAULO;SP;-23,5829462;-46,635294;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;06º D.P. CAMBUCI;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FTB6G64;SP;SÃO PAULO;Cinza;VW/NIVUS CL TSI AD;2022;;AUTOMOVEL;;
2022;2059;2059/2022;01/06/2022 01:37;01/06/2022 01:37;01/06/2022;;DE MADRUGADA;01/06/2022;01/06/2022 01:37;Conhecida;Não;;RUA PURUBA;40;JARDIM ANGELA;S.PAULO;SP;-23,72814302;-46,76500485;Via pública;;BO PARA INVESTIGAÇÃO;100º D.P. JDIM HERCULANO;100º D.P. JDIM HERCULANO;Título II - Patrimônio (arts. 155 a 183);Roubo (art. 157) - VEICULO;;Consumado;;;;;;;;;;;;;;;;GGU6I81;SP;S.PAULO;Vermelho;HONDA/XRE 300 ABS;2021;2022;MOTOCICLO;;
